
"w1","A","2015/12/09 08:20:01","10001"
"w1","B","2015/12/09 08:21:01","10003"
"w1","C","2015/12/10 08:22:01","10005"
"w1","C","2015/12/10 10:22:01","10005"

"w1","D","2015/12/11 08:23:01","10003"
"w1","E","2015/12/11 09:22:01","10003"
"w1","F","2015/12/12 09:23:01","10004"

"w2","A","2015/12/09 08:20:01","10001"
"w2","B","2015/12/09 08:22:01","10003"
"w2","D","2015/12/09 08:23:01","10003"
"w2","C","2015/12/11 12:21:01","10005"
"w2","E","2015/12/12 09:22:01","10003"
"w2","F","2015/12/12 10:22:01","10003"

"w3","A","2015/12/09 08:20:01","10001"
"w3","B","2015/12/09 16:00:01","10001"
"w3","C","2015/12/10 08:20:01","10005"
"w3","D","2015/12/10 08:22:01","10003"
"w3","E","2015/12/11 08:21:01","10003"
"w3","F","2015/12/12 09:22:01","10003"

"w4","A","2015/12/09 08:20:01","10001"
"w4","B","2015/12/09 16:20:01","10003"
"w4","D","2015/12/10 09:25:01","10003"
"w4","C","2015/12/13 08:22:01","10005"
"w4","E","2015/12/14 08:21:01","10003"
"w4","F","2015/12/20 09:22:01","10003"

"w5","A","2015/12/09 08:22:01","10001"
"w5","B","2015/12/09 16:20:11","10001"
"w5","C","2015/12/10 09:45:01","10005"
"w5","D","2015/12/15 09:22:01","10003"
"w5","E","2015/12/16 13:21:01","10003"
"w5","F","2015/12/22 09:22:01","10004"

"w6","A","2015/11/09 08:22:01","10001"
"w6","B","2015/11/09 16:20:11","10001"
"w6","C","2015/11/10 09:45:01","10005"
"w6","D","2015/12/15 09:22:01","10003"
"w6","E","2015/12/16 13:21:01","10003"
"w6","F","2015/12/25 09:22:01","10004"

"w7","D","2015/12/10 09:22:01"
